ITEM NUMBER	OLD REV	NEW REV	ECO NUMBER																									
971B-22024		00A	W228																									
971B-22024	00A	00C	W254																									
971B-22024	00C	00B	W239																									
971B-22024	00B	00D	W271																									
971B-72024		00A	W228																									
971B-72024	00A	00C	W254																									
971B-72024	00C	00B	W239																									
971B-72024	00B	00D	W271																									
971B-92024		00A	W228																									
971B-92024	00A	00B	W254																									
972B-21024		00A	W228																									
972B-21024	00A	00C	W254																									
972B-21024	00C	00B	W239																									
972B-21024	00B	00D	W271																									
972B-71024		00A	W228																									
972B-71024	00A	00C	W254																									
972B-71024	00C	00B	W239																									
972B-71024	00B	00D	W271																									
972B-91024		00A	W228																									
972B-91024	00A	00C	W254																									
972B-91024	00C	00B	W239																									
972B-91024	00B	00D	W271																									
972B-22024		00A	W228																									
972B-22024	00A	00C	W254																									
972B-22024	00C	00B	W239																									
972B-22024	00B	00D	W271																									
972B-72024		00A	W228																									
972B-72024	00A	00C	W254																									
972B-72024	00C	00B	W239																									
972B-72024	00B	00D	W271																									
972B-92024		00A	W228																									
972B-92024	00A	00C	W254																									
972B-92024	00C	00B	W239																									
972B-92024	00B	00D	W271																									
972B-22034		00A	W228																									
972B-22034	00A	00C	W254																									
972B-22034	00C	00B	W239																									
972B-22034	00B	00D	W271																									
972B-72034		00A	W228																									
972B-72034	00A	00C	W254																									
972B-72034	00C	00B	W239																									
972B-72034	00B	00D	W271																									
972B-92034		00A	W228																									
972B-92034	00A	00C	W254																									
972B-92034	00C	00B	W239																									
972B-92034	00B	00D	W271																									
972B-92034	00D	00E	W295																									
974B-21024		00A	W228																									
974B-21024	00A	00C	W254																									
974B-21024	00C	00B	W239																									
974B-21024	00B	00D	W271																									
974B-71024		00A	W228																									
974B-71024	00A	00C	W254																									
974B-71024	00C	00B	W239																									
974B-71024	00B	00D	W271																									
974B-91024		00A	W228																									
974B-91024	00A	00C	W254																									
974B-91024	00C	00B	W239																									
974B-91024	00B	00D	W271																									
974B-22024		00A	W228																									
974B-22024	00A	00C	W254																									
974B-22024	00C	00B	W239																									
974B-22024	00B	00D	W271																									
974B-72024		00A	W228																									
974B-72024	00A	00C	W254																									
974B-72024	00C	00B	W239																									
974B-72024	00B	00D	W271																									
974B-92024		00A	W228																									
974B-92024	00A	00C	W254																									
974B-92024	00C	00B	W239																									
974B-92024	00B	00D	W271																									
974B-71034		00A	W228																									
974B-71034	00A	00C	W254																									
974B-71034	00C	00B	W239																									
974B-71034	00B	00D	W256																									
974B-71034	00D	00E	W271																									
974B-91034		00A	W228																									
974B-91034	00A	00C	W254																									
974B-91034	00C	00B	W239																									
974B-91034	00B	00D	W271																									
974B-92034		00A	W228																									
974B-92034	00A	00C	W254																									
974B-92034	00C	00B	W239																									
974B-92034	00B	00D	W271																									
974B-21044		00A	W228																									
974B-21044	00A	00C	W254																									
974B-21044	00C	00B	W239																									
974B-21044	00B	00D	W271																									
974B-71044		00A	W228																									
974B-71044	00A	00C	W254																									
974B-71044	00C	00B	W239																									
974B-71044	00B	00D	W271																									
974B-91044		00A	W228																									
974B-91044	00A	00C	W254																									
974B-91044	00C	00B	W239																									
974B-91044	00B	00D	W271																									
974B-22044		00A	W228																									
974B-22044	00A	00C	W254																									
974B-22044	00C	00B	W239																									
974B-22044	00B	00D	W271																									
974B-72044		00A	W228																									
974B-72044	00A	00C	W254																									
974B-72044	00C	00B	W239																									
974B-72044	00B	00D	W271																									
100017463		00A	W228																									
100017463	00A	00C	W244																									
100017463	00C	00D	W246																									
100017463	00D	00E	W247																									
100017463	00E	00F	W249																									
100017462		00A	W242																									
100016605		00A	16246																									
100016606		00A	12833																									
100016607		1	12503																									
100016607	1	00A	15590																									
100016608		1	12503																									
100016608	1	00A	15590																									
100016609		1	12503																									
100016609	1	00A	15590																									
100016609	00A	00B	18832																									
100016609	00B	00C	20795																									
100006175BH-82		00A	4915																									
100016593		1	12542																									
100016593	1	1.01	12547																									
100016593	1.01	2.1	21387																									
